path	origin	license_boundary	evidence
Sources/AppleRenderSurface.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/GoldenPadApp.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/InputSystem.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/MetalCanvas.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/PlatformServices.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/ROMValidator.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/TouchControlsView.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/TouchLayout.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_core_bridge.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_metal_surface_bridge.mm	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_config.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_gu.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_host.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_legacy_data.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_os.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_renderer_bridge.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_renderer_defaults.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_rom_bridge.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/RT64/rt64_bridge_stub.cpp	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
mgb64/src/game/file2.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/fog.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/front.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/game_debug.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/gobjdata.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/gobjdata2.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/gun.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/image.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/image_bank.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/indy_commands.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/indy_comms.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initBondDATA.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initBondDATAdefaults.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initactorpropstuff.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initanitable.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initcheattext.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initexplosioncasing.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initgamedata.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initguards.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initimages.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initintromatrices.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/inititemslots.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initmenus.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initmttex.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initnull_0009D0.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initnull_000BC0.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initobjects.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initpathtablelinks.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initpathtablesomething.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initplayergaitobject.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initunk_0009E0.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initunk_005450.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initunk_005520.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initunk_007290.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/initweaponanigroups.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/lightfixture.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/loadobjectmodel.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/lvl.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/lvl_text.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/math_asinacos.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/math_asinfacosf.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/math_atan2f.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/math_ceil.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/math_floor.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/math_unk_05A9E0.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/matrixmath.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/matrixmath_misc.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/minimap.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/model.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/mp_music.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/mp_watch.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
